"id","source","target","cost","reverse_cost","length","geom"
89012,81044,86905,8.737634293759701,8.737634293759701,17.393409914723705,[[1287911.472121928,6131813.916310416],[1287927.513260549,6131807.19228036]]
89013,86905,82413,28.18802939480766,28.18802939480766,56.112853282711285,[[1287927.513260549,6131807.19228036],[1287979.087580636,6131785.084774595]]
89014,82413,82412,44.60315661113243,44.60315661113243,88.7894738701466,[[1287979.087580636,6131785.084774595],[1288060.707031284,6131750.130004592]]
116954,82413,168701,7.453048459179324,7.453048459179324,14.867543092150761,[[1287979.087580636,6131785.084774595],[1287984.787138564,6131798.81644882]]
140159,168785,168788,18.066150782804677,18.066150782804677,35.963325047496625,[[1287856.691800508,6131936.251198528],[1287823.474064455,6131950.033170811]]
140167,111275,173286,5.845138006756197,5.845138006756197,11.660600917767654,[[1287827.960239934,6131821.958457516],[1287832.201512532,6131832.820373576]]
140168,173286,111873,52.60197309821477,52.60197309821477,104.93288372163993,[[1287832.201512532,6131832.820373576],[1287840.606134088,6131854.360711771],[1287872.432376504,6131929.727294445]]
140169,111873,111874,35.61900262873081,35.61900262873081,71.03390180260763,[[1287872.432376504,6131929.727294445],[1287881.170956534,6131934.415828592],[1287905.661244509,6131990.411473963]]
171047,168701,95688,18.40171511823369,18.40171511823369,36.69162892344425,[[1287984.787138564,6131798.81644882],[1287995.896823744,6131825.612464605],[1288003.076930902,6131822.876130385]]
228314,203548,17224,6.732847081729889,6.732847081729889,13.430965993150279,[[1287912.52965709,6131772.03720175],[1287907.44235636,6131759.606987802]]
366971,299145,35231,4.214164297195152,4.214164297195152,8.406239722703692,[[1287906.997078398,6131993.414826438],[1287910.425718714,6132001.090065317]]
367370,299140,237603,101.67189941851555,101.67189941851555,202.39863320350466,[[1287967.220922917,6131986.373635082],[1287909.457239142,6132010.584011623],[1287780.972282871,6132065.595714392]]
371729,111874,299145,1.6478296278241011,1.6478296278241011,3.2870318320858973,[[1287905.661244509,6131990.411473963],[1287906.997078398,6131993.414826438]]
372190,273660,299140,31.21644392523548,31.21644392523548,62.269623071441146,[[1287992.523843175,6132043.270631346],[1287967.220922917,6131986.373635082]]
390233,173282,284333,5.399974113686523,5.399974113686523,10.771988909082024,[[1287885.534680572,6131797.615135008],[1287881.393595513,6131787.670932697]]
390345,299145,299144,25.66083815710624,25.66083815710624,51.08266766714413,[[1287906.997078398,6131993.414826438],[1287859.931197691,6132013.270349832]]
390352,299140,37194,4.127211264862813,4.127211264862813,8.232820201108478,[[1287967.220922917,6131986.373635082],[1287963.881338192,6131978.848576788]]
394399,299658,173282,5.468520868496472,5.468520868496472,10.90952162012841,[[1287889.375203004,6131807.826307782],[1287885.534680572,6131797.615135008]]
394405,306076,227497,2.3956689310866444,2.3956689310866444,4.778809074071494,[[1287845.237024904,6131803.488226356],[1287843.344593562,6131799.100092381]]
394406,299658,173286,31.34486159871337,31.34486159871337,62.39819073590621,[[1287889.375203004,6131807.826307782],[1287832.201512532,6131832.820373576]]
394483,306175,299145,29.122224673167587,29.122224673167587,57.97307652775071,[[1287960.40817008,6131970.873023328],[1287906.997078398,6131993.414826438]]
398723,173286,306078,5.337491926648738,5.337491926648738,10.625516532837493,[[1287832.201512532,6131832.820373576],[1287822.494452937,6131837.141784874]]
398803,37194,306175,4.3608422167256045,4.3608422167256045,8.698985556767834,[[1287963.881338192,6131978.848576788],[1287960.40817008,6131970.873023328]]
402729,306078,306082,7.6300451567345435,7.6300451567345435,15.188434200890272,[[1287822.494452937,6131837.141784874],[1287808.445933198,6131842.914793327]]
379819,288991,288992,14.190678317918678,14.190678317918678,28.24957405573013,[[1287993.236287914,6131890.583974334],[1287967.343374357,6131901.879790455]]
372879,168785,289194,7.24756064748566,7.24756064748566,14.457854860459314,[[1287856.691800508,6131936.251198528],[1287862.246643098,6131949.599355366]]
402728,306077,300009,2.005915312296889,2.005915312296889,4.001499972232573,[[1287867.979596875,6131793.544017229],[1287866.465651798,6131789.839969128]]
140158,111873,168785,8.559539520134704,8.559539520134704,17.038986390130706,[[1287872.432376504,6131929.727294445],[1287856.691800508,6131936.251198528]]
41611,35231,37194,29.08483650743616,29.08483650743616,57.89807480126953,[[1287910.425718714,6132001.090065317],[1287963.881338192,6131978.848576788]]
41612,37194,15118,4.989317249964931,4.989317249964931,9.93120390596439,[[1287963.881338192,6131978.848576788],[1287973.198779572,6131975.411412674]]
104720,150755,81044,7.08130860822642,7.08130860822642,14.129985066159081,[[1287908.210460847,6131800.167927058],[1287911.472121928,6131813.916310416]]
118589,81044,168700,51.64474594124157,51.64474594124157,103.02005904491759,[[1287911.472121928,6131813.916310416],[1287952.2929792,6131908.503784096]]
171045,168697,168698,40.191537467004835,40.191537467004835,80.00811118865016,[[1287988.538605402,6131952.285674442],[1288062.254372207,6131921.184491501]]
179162,168700,120059,35.28957710936953,35.28957710936953,70.39407853285236,[[1287952.2929792,6131908.503784096],[1287980.857560538,6131972.841883116]]
179163,120059,163139,4.206137121269937,4.206137121269937,8.385651557634112,[[1287980.857560538,6131972.841883116],[1287985.800145931,6131979.616099061]]
179164,163139,152077,49.33738433885353,49.33738433885353,98.4199057396573,[[1287985.800145931,6131979.616099061],[1288024.517064826,6132070.100783053]]
186017,120959,173282,4.769807936734149,4.769807936734149,9.494952341318228,[[1287894.284392548,6131793.927770052],[1287885.534680572,6131797.615135008]]
186019,111275,115568,4.900786768268864,4.900786768268864,9.75575154462264,[[1287827.960239934,6131821.958457516],[1287818.976757027,6131825.762629313]]
274409,227497,227498,13.493927908671376,13.493927908671376,26.918215167713125,[[1287843.344593562,6131799.100092381],[1287833.103200408,6131774.206234221]]
288558,163139,55122,71.47796883839433,71.47796883839433,142.2889610529561,[[1287985.800145931,6131979.616099061],[1287988.148987184,6131978.698409394],[1288116.967901932,6131924.471467408]]
296590,266797,120959,8.238286050854828,8.238286050854828,16.399393579666405,[[1287909.401579398,6131787.57082334],[1287894.284392548,6131793.927770052]]
298470,266796,150755,3.007694960314779,3.007694960314779,5.987573588477635,[[1287913.665115894,6131797.69855957],[1287908.210460847,6131800.167927058]]
300724,203548,238906,1.7190919822208608,1.7190919822208608,3.4289349838150684,[[1287912.52965709,6131772.03720175],[1287913.98794242,6131775.140586841]]
325439,258510,266796,77.14115149599229,77.14115149599229,153.56129395373162,[[1288054.840494118,6131737.282702554],[1287921.780306775,6131794.044564394],[1287913.665115894,6131797.69855957]]
337831,284333,237587,54.28699689732705,54.28699689732705,108.28612774077783,[[1287881.393595513,6131787.670932697],[1287837.199757669,6131688.813509315]]
360709,168697,168696,8.020683157968534,8.020683157968534,16.000032473427634,[[1287988.538605402,6131952.285674442],[1287994.739101039,6131967.035416575]]
367769,288992,168697,27.41114401446025,27.41114401446025,54.680809791896074,[[1287967.343374357,6131901.879790455],[1287988.538605402,6131952.285674442]]
367771,288992,168700,8.260082158655713,8.260082158655713,16.443591035854443,[[1287967.343374357,6131901.879790455],[1287952.2929792,6131908.503784096]]
372773,86905,288993,27.385903737287556,27.385903737287556,54.62984002626648,[[1287927.513260549,6131807.19228036],[1287948.697359648,6131857.547551848]]
372775,168701,288993,34.56912163498564,34.56912163498564,68.9334070323892,[[1287984.787138564,6131798.81644882],[1287948.697359648,6131857.547551848]]
379818,288993,288992,24.109294484811763,24.109294484811763,48.093879490681296,[[1287948.697359648,6131857.547551848],[1287967.343374357,6131901.879790455]]
385630,299143,299144,64.9341404623171,64.9341404623171,129.51831462270798,[[1287853.931077136,6132015.75646483],[1287831.667178977,6131964.015388121],[1287829.641164245,6131959.293467311],[1287832.201512532,6131958.192242336],[1287835.607888951,6131956.723942595],[1287859.931197691,6132013.270349832]]
390234,173283,150755,5.133667592188546,5.133667592188546,10.218898367946617,[[1287898.726040231,6131803.972089178],[1287908.210460847,6131800.167927058]]
390235,266797,266796,5.508593892119736,5.508593892119736,10.988575185510971,[[1287909.401579398,6131787.57082334],[1287913.665115894,6131797.69855957]]
394398,306077,284333,7.355912549119225,7.355912549119225,14.64337670719863,[[1287867.979596875,6131793.544017229],[1287881.393595513,6131787.670932697]]
394400,299658,173283,5.080870763118095,5.080870763118095,10.114008003182727,[[1287889.375203004,6131807.826307782],[1287898.726040231,6131803.972089178]]
394401,306067,266797,4.863824317872579,4.863824317872579,9.702378790540571,[[1287905.638980608,6131778.627725189],[1287909.401579398,6131787.57082334]]
394403,306067,238906,4.545293531240103,4.545293531240103,9.047944362241147,[[1287905.638980608,6131778.627725189],[1287913.98794242,6131775.140586841]]
398719,266795,306067,8.435933690876658,8.435933690876658,16.827680206607194,[[1287898.970943111,6131763.177544055],[1287905.638980608,6131778.627725189]]
398720,238906,306069,52.26160569122633,52.26160569122633,104.03457612229222,[[1287913.98794242,6131775.140586841],[1288009.63364891,6131734.212700762]]
402725,306071,306076,17.13203215401248,17.13203215401248,34.10469267871693,[[1287813.989643839,6131817.153190288],[1287845.237024904,6131803.488226356]]
402726,306076,306077,12.46881491071374,12.46881491071374,24.821600975514286,[[1287845.237024904,6131803.488226356],[1287867.979596875,6131793.544017229]]
404935,310220,266797,0.7518796992481203,0.7518796992481203,1.496834215186395,[[1287910.781062436,6131786.989842087],[1287909.401579398,6131787.57082334]]
406902,242161,310220,76.23755163681884,76.23755163681884,151.76023930793409,[[1288050.666013215,6131728.139439599],[1288013.930581253,6131743.606242318],[1287917.483374429,6131784.167105775],[1287910.781062436,6131786.989842087]]
408887,173282,310218,0.7518796992481203,0.7518796992481203,1.4967151152804332,[[1287885.534680572,6131797.615135008],[1287884.156107573,6131798.197966564]]
410895,310218,111275,30.6496633256895,30.6496633256895,61.01259277866888,[[1287884.156107573,6131798.197966564],[1287871.998230491,6131803.338062038],[1287849.311318268,6131812.931898736],[1287827.960239934,6131821.958457516]]
999999999,299658,999999999,41.64061419123928,41.64061419123928,83.0632128449279,[[1287889.375203004,6131807.826307782],[1287922.551012512,6131883.976573649]]
999999998,999999999,306175,47.5163388617478,47.5163388617478,94.78479490919158,[[1287922.551012512,6131883.976573649],[1287960.40817008,6131970.873023328]]
